DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
f	1
K1	0.000344156
K2	3.25273e-008
Kw	2.95947e-009
Ks	0.00435387
CO2	2.90566e+009
Pn-1	-2.90566e+009
Mn-1	0
Pn	-2.90566e+009
Mn	-3
DOCads	7.7
a	0
ceq	7.7
test1	0.4764
DOC	10
a1	280
a2	73.9
a3	4.96
Dos	1
